Trial,MaleID,MaleMorph,Cw,CwScore,Nw,MaleWeight,MalePL,FemID,FemMorph,Date,CourtStart,MountStart,CMtime,CourtYN,MountYN,DNI
t130,CC87,CwNw,Cw,,Nw,577,,CC87,wt,23/03/2020,255,260,5,1,1,0
t131,CC50,wtFw,wt,,Fw,305,,CC64,wt,24/03/2020,418,,,1,0,0
t132,CC51,CwNw,Cw,,Nw,479,,CC24,,24/03/2020,150,205,55,1,1,0
t133,CC52,wtFw,wt,,Fw,325,,CC60,Cw,24/03/2020,350,375,25,1,1,0
t134,CC53,CwNw,wt,,Fw,323,,CC37,wt,24/03/2020,,,,0,0,0
t135,CC55,CwFw,Cw,,Nw,399,,CC61,,24/03/2020,350,410,60,1,1,0
t136,CC56,wtNw,Cw,,Fw,507,,CC57,wt,24/03/2020,30,32,2,1,1,0
t137,CC27,wtNw,wt,,Nw,557,,CC50,Cw,24/03/2020,410,475,65,1,1,0
t138,CC42,wtFw,wt,,Fw,478,,CC55,wt,24/03/2020,650,700,50,1,1,0
t139,CC88,CwNw,Cw,,Nw,440,,CC88,wt,25/03/2020,160,162,2,1,1,0
t140,CC57,wtNw,wt,,Nw,478,,CC58,Cw,25/03/2020,97,110,13,1,1,0
t141,CC58,wtNw,wt,,Nw,471,,CC56_1,wt,25/03/2020,180,180,0,1,1,0
t142,CC61,wtNw,wt,,Nw,544,,CC26,wt,25/03/2020,14,27,13,1,1,0
t143,CC62,wtNw,wt,,Nw,611,,CC31,Cw,25/03/2020,75,82,7,1,1,0
t144,CC80,wtFw,wt,,Fw,519,,CC82,wt,27/03/2020,260,262,2,1,1,0
t145,CC81,wtFw,wt,,Fw,615,,CC85,wt,27/03/2020,55,60,5,1,1,0
t146,CC82,wtFw,wt,,Fw,454,,CC87,wt,27/03/2020,,180,180,0,1,0
t147,CC83,wtFw,wt,,Fw,496,,CC86,wt,27/03/2020,90,92,2,1,1,0
t148,CC84,CwFw,Cw,,Fw,387,,CC81,Cw,27/03/2020,,,,1,1,0
t149,CC85,CwNw,Cw,,Nw,423,,CC84,wt,27/03/2020,,,,,,
t150,CC86,CwNw,Cw,,Nw,510,,CC83,Cw,27/03/2020,300,,,1,0,0
t151,CC87,CwNw,Cw,,Nw,602,,CC80,Cw,27/03/2020,605,710,105,1,1,0
t201,CC201,CwNw,Cw,,Nw,465,,CC201,Cw,13/09/2020,200,210,10,1,1,0
t202,CC202,CwNw,Cw,,Nw,402,,CC202,Cw,14/09/2020,,290,,0,1,0
t203,CC203,CwNw,Cw,,Nw,,,CC205,wt,14/09/2020,,,,,,1
t204,CC206,CwFw,Cw,,Fw,569,,CC206,wt,14/09/2020,530,540,10,1,1,0
t205,CC204,wtNw,wt,,Nw,460,,CC204,wt,14/09/2020,170,180,10,1,1,0
t206,CC205,wtNw,wt,,Nw,454,,CC205,Cw,14/09/2020,380,435,55,1,1,0
t207,CC209,CwFw,Cw,,Fw,442,,CC207,wt,18/09/2020,270,305,35,1,1,0
t208,CC210,CwNw,Cw,,Nw,377,,CC208,wt,18/09/2020,,,,0,0,0
t209,CC211,CwNw,Cw,,Nw,371,,CC210,Cw,18/09/2020,140,190,50,1,1,0
t210,CC203,CwNw,Cw,,Nw,514,,CC212,wt,18/09/2020,,190,,0,1,0
t211,CC201,CwNw,Cw,,Nw,443,,CC202,Cw,19/09/2020,45,50,5,1,1,0
t212,CC205,wtNw,wt,,Nw,430,,CC208,wt,19/09/2020,540,543,3,1,1,0
t213,CC204,wtNw,wt,,Nw,538,,CC207,wt,19/09/2020,220,221,1,1,1,0
t214,CC206,CwFw,Cw,,Fw,502,,CC204,wt,19/09/2020,60,200,140,1,1,0
t215,CC209,CwFw,Cw,,Fw,483,,CC205,Cw,19/09/2020,280,,,1,0,0
t216,CC212,CwFw,Cw,,Fw,537,,CC213,wt,20/09/2020,30,,,1,0,0
t217,CC213,wtFw,wt,,Fw,412,,CC214,wt,20/09/2020,,250,,0,1,0
t218,CC214,CwNw,Cw,,Nw,379,,CC215,wt,20/09/2020,,,,0,0,0
t219,CC215,wtNw,wt,,Nw,411,,CC216,wt,20/09/2020,210,213,3,1,1,0
